"","V1","decimalLatitude","decimalLongitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1","Heloniopsis tubiflora",35.352,127.5351,"https://www.naturing.net/o/359138",-33,-14,29,86,137,179,213,219,175,112,46,-11
"2","Heloniopsis tubiflora",35.29662,127.53005,"https://www.naturing.net/o/323839",-58,-40,1,56,105,147,182,188,145,83,18,-37
"3","Heloniopsis tubiflora",35.29599,127.53,"https://www.naturing.net/o/471003",-58,-40,1,56,105,147,182,188,145,83,18,-37
"4","Heloniopsis tubiflora",35.84853,127.74556,"https://www.naturing.net/o/326509",-69,-49,-4,55,107,151,183,188,141,75,8,-49
"5","Heloniopsis tubiflora",35.85802,127.7464,"https://www.naturing.net/o/8670",-72,-52,-7,51,104,147,180,184,137,72,5,-52
"6","Heloniopsis tubiflora",35.85802,127.74661,"https://www.naturing.net/o/297506",-72,-52,-7,51,104,147,180,184,137,72,5,-52
"7","Heloniopsis tubiflora",37.11262,128.92667,"https://www.naturing.net/o/79487",-53,-33,10,68,117,158,192,198,152,94,28,-30
"8","Heloniopsis tubiflora",35.54118,129.05865,"https://www.naturing.net/o/98475",-22,-3,39,93,139,177,212,221,179,121,56,-1
"9","Heloniopsis tubiflora",35.81327,127.72972,"https://www.naturing.net/o/81929",-64,-44,1,60,113,156,189,193,146,81,14,-43
"10","Heloniopsis tubiflora",38.14663,127.48105,"",-67,-37,18,86,143,187,216,220,169,103,29,-39
"11","Heloniopsis tubiflora",35.309549,127.579089,"2609423503",-55,-37,4,59,109,151,185,192,148,85,21,-35
"12","Heloniopsis tubiflora",38.17,128.493465,"2609423797",-24,-1,46,108,160,201,232,238,193,137,67,4
"13","Heloniopsis tubiflora",35.341342,127.734417,"2609424475",-67,-48,-7,47,97,139,174,179,136,73,8,-47
