,decimalLatitude,decimalLongitude,key
Heloniopsis tubiflora,35.352,127.5351,https://www.naturing.net/o/359138
Heloniopsis tubiflora,35.29662,127.53005,https://www.naturing.net/o/323839
Heloniopsis tubiflora,35.29599,127.53,https://www.naturing.net/o/471003
Heloniopsis tubiflora,35.84853,127.74556,https://www.naturing.net/o/326509
Heloniopsis tubiflora,35.85802,127.7464,https://www.naturing.net/o/8670
Heloniopsis tubiflora,35.85802,127.74661,https://www.naturing.net/o/297506
Heloniopsis tubiflora,37.11262,128.92667,https://www.naturing.net/o/79487
Heloniopsis tubiflora,35.54118,129.05865,https://www.naturing.net/o/98475
Heloniopsis tubiflora,35.81327,127.72972,https://www.naturing.net/o/81929
Heloniopsis tubiflora,38.14663,127.48105,
Heloniopsis tubiflora,35.309549,127.579089,2609423503
Heloniopsis tubiflora,38.17,128.493465,2609423797
Heloniopsis tubiflora,35.341342,127.734417,2609424475
