"","name","Temp","mon"
"1","Heloniopsis kawanoi",179,4
"2","Heloniopsis kawanoi",225,4
"3","Heloniopsis kawanoi",205,4
"4","Heloniopsis kawanoi",215,4
"5","Heloniopsis kawanoi",224,4
"6","Heloniopsis kawanoi",212,4
"7","Heloniopsis kawanoi",211,4
"8","Heloniopsis kawanoi",230,4
"9","Heloniopsis kawanoi",215,4
"10","Heloniopsis kawanoi",228,4
"11","Heloniopsis kawanoi",225,4
"12","Heloniopsis kawanoi",225,4
"13","Heloniopsis kawanoi",221,4
"14","Heloniopsis kawanoi",215,4
"15","Heloniopsis kawanoi",225,4
"16","Heloniopsis kawanoi",221,4
"17","Heloniopsis kawanoi",199,4
"18","Heloniopsis kawanoi",221,4
"19","Heloniopsis kawanoi",221,4
"20","Heloniopsis kawanoi",219,4
"21","Heloniopsis kawanoi",199,4
"22","Heloniopsis kawanoi",198,4
"23","Heloniopsis kawanoi",229,4
"24","Heloniopsis kawanoi",221,4
"25","Heloniopsis kawanoi",199,4
"26","Heloniopsis kawanoi",181,4
"27","Heloniopsis kawanoi",229,4
"28","Heloniopsis kawanoi",221,4
"29","Heloniopsis kawanoi",199,4
"30","Heloniopsis kawanoi",181,4
"31","Heloniopsis kawanoi",229,4
"32","Heloniopsis kawanoi",229,4
"33","Heloniopsis kawanoi",225,4
"34","Heloniopsis kawanoi",NA,4
"35","Heloniopsis kawanoi",213,4
"36","Heloniopsis kawanoi",181,4
"37","Heloniopsis kawanoi",229,4
"38","Heloniopsis kawanoi",NA,4
"39","Heloniopsis kawanoi",NA,4
"40","Heloniopsis kawanoi",195,4
"41","Heloniopsis kawanoi",195,4
"42","Heloniopsis kawanoi",207,5
"43","Heloniopsis kawanoi",248,5
"44","Heloniopsis kawanoi",231,5
"45","Heloniopsis kawanoi",239,5
"46","Heloniopsis kawanoi",247,5
"47","Heloniopsis kawanoi",236,5
"48","Heloniopsis kawanoi",235,5
"49","Heloniopsis kawanoi",254,5
"50","Heloniopsis kawanoi",239,5
"51","Heloniopsis kawanoi",252,5
"52","Heloniopsis kawanoi",249,5
"53","Heloniopsis kawanoi",249,5
"54","Heloniopsis kawanoi",244,5
"55","Heloniopsis kawanoi",239,5
"56","Heloniopsis kawanoi",249,5
"57","Heloniopsis kawanoi",245,5
"58","Heloniopsis kawanoi",225,5
"59","Heloniopsis kawanoi",244,5
"60","Heloniopsis kawanoi",244,5
"61","Heloniopsis kawanoi",243,5
"62","Heloniopsis kawanoi",226,5
"63","Heloniopsis kawanoi",224,5
"64","Heloniopsis kawanoi",253,5
"65","Heloniopsis kawanoi",244,5
"66","Heloniopsis kawanoi",226,5
"67","Heloniopsis kawanoi",208,5
"68","Heloniopsis kawanoi",253,5
"69","Heloniopsis kawanoi",244,5
"70","Heloniopsis kawanoi",226,5
"71","Heloniopsis kawanoi",208,5
"72","Heloniopsis kawanoi",253,5
"73","Heloniopsis kawanoi",253,5
"74","Heloniopsis kawanoi",249,5
"75","Heloniopsis kawanoi",NA,5
"76","Heloniopsis kawanoi",237,5
"77","Heloniopsis kawanoi",208,5
"78","Heloniopsis kawanoi",253,5
"79","Heloniopsis kawanoi",NA,5
"80","Heloniopsis kawanoi",NA,5
"81","Heloniopsis kawanoi",222,5
"82","Heloniopsis kawanoi",222,5
"83","Heloniopsis leucantha",164,1
"84","Heloniopsis leucantha",166,1
"85","Heloniopsis leucantha",183,1
"86","Heloniopsis leucantha",184,1
"87","Heloniopsis leucantha",184,1
"88","Heloniopsis leucantha",154,1
"89","Heloniopsis leucantha",186,1
"90","Heloniopsis leucantha",166,1
"91","Heloniopsis leucantha",165,1
"92","Heloniopsis leucantha",158,1
"93","Heloniopsis leucantha",184,1
"94","Heloniopsis leucantha",184,1
"95","Heloniopsis leucantha",187,1
"96","Heloniopsis leucantha",158,1
"97","Heloniopsis leucantha",162,1
"98","Heloniopsis leucantha",158,1
"99","Heloniopsis leucantha",165,2
"100","Heloniopsis leucantha",167,2
"101","Heloniopsis leucantha",187,2
"102","Heloniopsis leucantha",188,2
"103","Heloniopsis leucantha",188,2
"104","Heloniopsis leucantha",156,2
"105","Heloniopsis leucantha",190,2
"106","Heloniopsis leucantha",168,2
"107","Heloniopsis leucantha",167,2
"108","Heloniopsis leucantha",160,2
"109","Heloniopsis leucantha",188,2
"110","Heloniopsis leucantha",188,2
"111","Heloniopsis leucantha",191,2
"112","Heloniopsis leucantha",160,2
"113","Heloniopsis leucantha",164,2
"114","Heloniopsis leucantha",160,2
"115","Heloniopsis sp.",91,1
"116","Heloniopsis sp.",147,1
"117","Heloniopsis sp.",85,1
"118","Heloniopsis sp.",93,1
"119","Heloniopsis sp.",100,2
"120","Heloniopsis sp.",152,2
"121","Heloniopsis sp.",93,2
"122","Heloniopsis sp.",100,2
