"","code","bio6_1","bio6_2","bio6_3","bio6_4","bio6_5"
"1",1,-135,17,52,97,224
"2",2,-37,-26,-19,-12,30
"3",3,-40,-5,17,35,148
"4",4,-280,-187,-124,-37,87
"5",5,-48,-27,-17,5.5,131
"6",6,-45,-30,-14,13,190
"7",7,-40,-5,5,33,165
"8",8,-48,-36,-27,-9,164
"9",9,-223,-62,-48,-5.25,138
"10",10,-40,-27,-12,-3.5,128
"11",11,-115,-9,30,79,224
"12",12,-93,-25,16.5,58,178
"13",13,-45,-36,-27,-11,157
"14",14,-4,30,42,56,151
"15",15,-186,-93,-68,-42,54
"16",16,-69,11,27,53,176
"17",17,-40,-19.75,4,25,95
"18",18,-39,-36,-30,-6,114
"19",19,-416,-318,-192,-19,79
"20",20,-152,1,2,6,42
"21",21,-40,-27,2,35,164
"22",22,-37,12,41,71,202
"23",23,-145,-23,-11,13,96
"24",24,-23,-11,0,33,56
"25",25,-103,-34,-21,-9,96
"26",26,-216,-78,-50.5,14,69
"27",27,-48,-35,-21,23,132
"28",28,-40,-19,2,22,133
"29",29,-116,-58,-41,-39,30
"30",30,-123,-52,-18,1,55
"31",31,-137,-15,15,35.25,133
"32",32,-48,-29,-17,-5,131
"33",33,-40,1,28,48,136
"34",34,-35,-23,-16,-5,23
"35",35,-217,-23,-13,18,139
"36",36,-29,3.5,13,31.25,130
"37",37,-59,-37,-25,-16,144
"38",38,-40,-25.5,-19,-4,106
"39",39,-37,25,33,48,136
"40",40,-40,-16,-3.5,6,132
"41",41,-129,-34,0,17,87
"42",42,-220,-126,-41,-14,129
"43",43,-48,-36,-27.5,-10.5,160
"44",44,-227,-87,-67,-43,144
"45",45,-184,-41,-29,9,208
"46",46,-207,-61,-23,-6,175
"47",47,-224,-129.25,-110.5,-97,15
"48",48,-243,-105.25,-19,3,107
"49",49,-40,16.75,36,76,197
"50",50,-40,9,25,37,160
"51",51,-85,5,21,37.25,164
"52",52,-48,-30,-19,-1.25,106
"53",53,-126,1,18,37,128
"54",54,-40,-25.5,-19,5,160
"55",55,-39,-37,-31,-27,138
"56",56,-40,12,26,44,160
"57",57,-40,-3.25,18,36,150
"58",58,-37,-16,1,25,164
"59",59,-40,-12,11.5,34,137
"60",60,-40,-36,-20,17.5,72
"61",61,-48,-36,-29,-20,165
"62",62,-53,-2,1,12.25,98
"63",63,-181,-99.5,-81,-59,47
"64",64,-136,-11,16,38,160
"65",65,-37,-15.5,-2,26,91
"66",66,-40,-30,-22,-5,126
"67",67,-111,-11,6,29,126
"68",68,-115,9,33,76.5,242
"69",69,-48,-37,-30,-16.25,79
"70",70,-48,-28,-14.5,13,164
"71",71,-48,-15,22,45.25,131
"72",72,-40,-17.5,12,44,194
