"","bio_12","groups","code","order"
"1",3107.49606299213,"a","1",1
"2",2955.82857142857,"ab","18",2
"3",2937.26136363636,"ab","40",3
"4",2924.06481481481,"ab","50",4
"5",2911.421875,"abc","41",5
"6",2897.80952380952,"bc","34",6
"7",2807.66666666667,"bcd","63",7
"8",2792.1223628692,"bcd","29",8
"9",2762.04827586207,"bcd","28",9
"10",2761.04545454545,"bcd","16",10
"11",2760.54651162791,"bcd","72",11
"12",2759.68727272727,"bcd","73",12
"13",2757.04724409449,"bcd","3",13
"14",2748.17293233083,"bcd","51",14
"15",2744.80637254902,"bcd","57",15
"16",2737.59627329193,"bcd","7",16
"17",2718.2,"bcd","62",17
"18",2710.75714285714,"bcd","44",18
"19",2696.74193548387,"bcde","39",19
"20",2695.55555555556,"bcde","61",20
"21",2694.45454545455,"bcde","10",21
"22",2691.14705882353,"bcde","19",22
"23",2687.13488372093,"bcde","65",23
"24",2683.19047619048,"bcde","14",24
"25",2673.4,"bcde","5",25
"26",2656.35820895522,"bcde","70",26
"27",2655.27091633466,"bcde","8",27
"28",2645.52662721894,"bcde","13",28
"29",2642.48850574713,"bcde","53",29
"30",2641.97714285714,"bcde","59",30
"31",2638.36057692308,"bcde","58",31
"32",2634.5,"bcde","60",32
"33",2632.1724137931,"bcde","2",33
"34",2629.46341463415,"bcde","38",34
"35",2629.1335504886,"bcde","33",35
"36",2624.37894736842,"bcde","55",36
"37",2623.71929824561,"bcde","32",37
"38",2622.8380952381,"bcde","67",38
"39",2613.95652173913,"cde","71",39
"40",2593.2688172043,"cde","23",40
"41",2578.21875,"cde","37",41
"42",2570.09090909091,"cde","22",42
"43",2558.01132075472,"de","36",43
"44",2550.14606741573,"de","56",44
"45",2549.64516129032,"de","35",45
"46",2533.13846153846,"de","6",46
"47",2517.8064516129,"de","25",47
"48",2495.78501628664,"de","69",48
"49",2328.51612903226,"def","66",49
"50",2258.88421052632,"ef","26",50
"51",2245.97115384615,"ef","17",51
"52",2241.15503875969,"ef","11",52
"53",2046.48170731707,"fg","52",53
"54",2040.856,"fg","24",54
"55",1782.92929292929,"gh","64",55
"56",1702.18648648649,"h","68",56
"57",1638.31725888325,"hi","15",57
"58",1488.34146341463,"hij","42",58
"59",1355.34408602151,"ij","20",59
"60",1295.77959183673,"j","54",60
"61",1260.718,"j","27",61
"62",1250.74285714286,"j","46",62
"63",1223.12846347607,"j","43",63
"64",1127.76315789474,"jk","12",64
"65",1116.77880184332,"jk","4",65
"66",1029.18273092369,"kl","45",66
"67",951.495762711864,"klm","9",67
"68",882.466,"lm","21",68
"69",824.666,"mn","31",69
"70",824,"mn","48",70
"71",723.824,"no","47",71
"72",712.016,"no","49",72
"73",639.082,"o","30",73
